Title,Abstract,PMCID,PMID,Similarity_Score
outbreakflow modelbased bayesian inference of disease outbreak dynamics with invertible neural networks and its application to the covid19 pandemics in germany,mathematical models in epidemiology are an indispensable tool to determine the dynamics and important characteristics of infectious diseases apart from their scientific merit these models are often used to inform political decisions and interventional measures during an ongoing outbreak however reliably inferring the epidemical dynamics by connecting complex models to real data is still hard and requires either laborious manual parameter fitting or expensive optimization methods which have to be repeated from scratch for every application of a given model in this work we address this problem with a novel combination of epidemiological modeling with specialized neural networks our approach entails two computational phases in an initial training phase a mathematical model describing the epidemic is used as a coach for a neural network which acquires global knowledge about the full range of possible disease dynamics in the subsequent inference phase the trained neural network processes the observed data of an actual outbreak and infers the parameters of the model in order to realistically reproduce the observed dynamics and reliably predict future progression with its flexible framework our simulationbased approach is applicable to a variety of epidemiological models moreover since our method is fully bayesian it is designed to incorporate all available prior knowledge about plausible parameter values and returns complete joint posterior distributions over these parameters application of our method to the early covid19 outbreak phase in germany demonstrates that we are able to obtain reliable probabilistic estimates for important disease characteristics such as generation time fraction of undetected infections likelihood of transmission before symptom onset and reporting delays using a very moderate amount of realworld observations,PMC8584772,34695111,0.7023816704750061
a review of modern technologies for tackling covid19 pandemic,objective science and technology sector constituting of data science machine learning and artificial intelligence are contributing towards covid19 the aim of the present study is to discuss the various aspects of modern technology used to fight against covid19 crisis at different scales including medical image processing disease tracking prediction outcomes computational biology and medicines methods a progressive search of the database related to modern technology towards covid19 is made further a brief review is done on the extracted information by assessing the various aspects of modern technologies for tackling covid19 pandemic results we provide a window of thoughts on review of the technology advances used to decrease and smother the substantial impact of the outburst though different studies relating to modern technology towards covid19 have come up yet there are still constrained applications and contributions of technology in this fight conclusions ongoing progress in the modern technology has contributed in improving peoples lives and hence there is a solid conviction that validated research plans including artificial intelligence will be of significant advantage in helping people to fight this infection,PMC7204706,32413821,0.7227159738540649
data mining and machine learning in hiv infection risk research an overview and recommendations,in the contemporary era the applications of data mining and machine learning have permeated extensively into medical research significantly contributing to areas such as hiv studies by reviewing 38 articles published in the past 15 years the study presents a roadmap based on seven different aspects utilizing various machine learning techniques for both novice researchers and experienced researchers seeking to comprehend the current state of the art in this area while traditional regression modeling techniques have been commonly used researchers are increasingly adopting more advanced fully supervised machine learning and deep learning techniques which often outperform the traditional methods in predictive performance additionally the study identifies nine new open research issues and outlines possible future research plans to enhance the outcomes of hiv infection risk research this review is expected to be an insightful guide for researchers illuminating current practices and suggesting advancements in the field,,38735156,0.7350634336471558
combating covid19 crisis using artificial intelligence ai based approach systematic review,background sarscov2 the unique coronavirus that causes covid19 has wreaked damage around the globe with victims displaying a wide range of difficulties that have encouraged medical professionals to look for innovative technical solutions and therapeutic approaches artificial intelligencebased methods have contributed a significant part in tackling complicated issues and some institutions have been quick to embrace and tailor these solutions in response to the covid19 pandemics obstacles here in this review article we have covered a few dl techniques for covid19 detection and diagnosis as well as ml techniques for covid19 identification severity classification vaccine and drug development mortality rate prediction contact tracing risk assessment and public distancing this review illustrates the overall impact of aiml tools on tackling and managing the outbreak purpose the focus of this research was to undertake a thorough evaluation of the literature on the part of artificial intelligence ai as a complete and efficient solution in the battle against the covid19 epidemic in the domains of detection and diagnostics of disease mortality prediction and vaccine as well as drug development methods a comprehensive exploration of pubmed web of science and science direct was conducted using prisma preferred reporting items for systematic reviews and metaanalysis regulations to find all possibly suitable papers conducted and made publicly available between december 1 2019 and august 2023 covid19 along with aispecific words was used to create the query syntax results during the period covered by the search strategy 961 articles were published and released online out of these a total of 135 papers were chosen for additional investigation mortality rate prediction early detection and diagnosis vaccine as well as drug development and lastly incorporation of ai for supervising and controlling the covid19 pandemic were the four main topics focused entirely on ai applications used to tackle the covid19 crisis out of 135 60 research papers focused on the detection and diagnosis of the covid19 pandemic next 19 of the 135 studies applied a machinelearning approach for mortality rate prediction another 22 research publications emphasized the vaccine as well as drug development finally the remaining studies were concentrated on controlling the covid19 pandemic by applying ai aibased approach to it conclusion we compiled papers from the available covid19 literature that used aibased methodologies to impart insights into various covid19 topics in this comprehensive study our results suggest crucial characteristics data types and covid19 tools that can aid in medical and translational research facilitation,,38318824,0.7375332713127136
influenza epidemic trend surveillance and prediction based on search engine data deep learning model study,background influenza outbreaks pose a significant threat to global public health traditional surveillance systems and simple algorithms often struggle to predict influenza outbreaks in an accurate and timely manner big data and modern technology have offered new modalities for disease surveillance and prediction influenzalike illness can serve as a valuable surveillance tool for emerging respiratory infectious diseases like influenza and covid19 especially when reported case data may not fully reflect the actual epidemic curve objective this study aimed to develop a predictive model for influenza outbreaks by combining baidu search query data with traditional virological surveillance data the goal was to improve early detection and preparedness for influenza outbreaks in both northern and southern china providing evidence for supplementing modern intelligence epidemic surveillance methods methods we collected virological data from the national influenza surveillance network and baidu search query data from january 2011 to july 2018 totaling 3691865 and 1563361 respective samples relevant search terms related to influenza were identified and analyzed for their correlation with influenzapositive rates using pearson correlation analysis a distributed lag nonlinear model was used to assess the lag correlation of the search terms with influenza activity subsequently a predictive model based on the gated recurrent unit and multiple attention mechanisms was developed to forecast the influenzapositive trend results this study revealed a high correlation between specific baidu search terms and influenzapositive rates in both northern and southern china except for 1 term the search terms were categorized into 4 groups essential facts on influenza influenza symptoms influenza treatment and medicine and influenza prevention all of which showed correlation with the influenzapositive rate the influenza prevention and influenza symptom groups had a lag correlation of 1432 and 5080 days respectively the baidu search terms could help predict the influenzapositive rate 1422 days in advance in southern china but interfered with influenza surveillance in northern china conclusions complementing traditional disease surveillance systems with information from webbased data sources can aid in detecting warning signs of influenza outbreaks earlier however supplementation of modern surveillance with search engine information should be approached cautiously this approach provides valuable insights for digital epidemiology and has the potential for broader application in respiratory infectious disease surveillance further research should explore the optimization and customization of search terms for different regions and languages to improve the accuracy of influenza prediction models,PMC10618884,37847532,0.712186336517334
artificial intelligence functionalities during the covid19 pandemic,background the coronavirus disease 2019 covid19 pandemic has led us to use virtual solutions and emerging technologies such as artificial intelligence ai recent studies have clearly demonstrated the role of ai in health care and medical practice however a comprehensive review can identify potential yet not fulfilled functionalities of such technologies in pandemics therefore this scoping review study aims at assessing ai functionalities in the covid19 pandemic in 2022 methods a systematic search was carried out in pubmed cochran library scopus science direct proquest and web of science from 2019 to may 9 2022 researchers selected the articles according to the search keywords finally the articles mentioning the functionalities of ai in the covid19 pandemic were evaluated two investigators performed this process results initial search resulted in 9123 articles after reviewing the title abstract and full text of these articles and applying the inclusion and exclusion criteria 4 articles were selectd for the final analysis all 4 were crosssectional studies two studies 50 were performed in the united states 1 25 in israel and 1 25 in saudi arabia they covered the functionalities of ai in the prediction detection and diagnosis of covid19 conclusions to the extent of the researchers knowledge this study is the first scoping review that assesses the ai functionalities in the covid19 pandemic healthcare organizations need decision support technologies and evidencebased apparatuses that can perceive think and reason not dissimilar to human beings potential functionalities of such technologies can be used to predict mortality detect screen and trace current and former patients analyze health data prioritize highrisk patients and better allocate hospital resources in pandemics and generally in healthcare settings,,36847255,0.723631739616394
application of artificial intelligence in covid19 medical area a systematic review,background coronavirus disease 2019 covid19 has caused a largescale global epidemic impacting international politics and the economy at present there is no particularly effective medicine and treatment plan therefore it is urgent and significant to find new technologies to diagnose early isolate early and treat early multimodal data drove artificial intelligence ai can potentially be the option during the covid19 pandemic ai provided cuttingedge applications in disease medicine treatment and target recognition this paper reviewed the literature on the intersection of ai and medicine to analyze and compare different ai model applications in the covid19 pandemic evaluate their effectiveness show their advantages and differences and introduce the main models and their characteristics methods we searched pubmed arxiv medrxiv and google scholar through february 2020 to identify studies on ai applications in the medical areas for the covid19 pandemic results we summarize the main ai applications in six areas i epidemiology ii diagnosis iii progression iv treatment v psychological health impact and vi data security the ongoing development in ai has significantly improved prediction contact tracing screening diagnosis treatment medication and vaccine development for the covid19 pandemic and reducing human intervention in medical practice discussion this paper provides strong advice for using aibased auxiliary tools for related applications of human diseases we also discuss the clinicians role in the further development of ai they and ai researchers can integrate ai technology with current clinical processes and information systems into applications in the future ai personnel and medical workers will further cooperate closely,PMC8743418,35070385,0.792158305644989
recent omicsbased computational methods for covid19 drug discovery and repurposing,the coronavirus disease 2019 covid19 pandemic caused by the severe acute respiratory syndrome coronavirus 2 sarscov2 is the main reason for the increasing number of deaths worldwide although strict quarantine measures were followed in many countries the disease situation is still intractable thus it is needed to utilize all possible means to confront this pandemic therefore researchers are in a race against the time to produce potential treatments to cure or reduce the increasing infections of covid19 computational methods are widely proving rapid successes in biological related problems including diagnosis and treatment of diseases many efforts in recent months utilized artificial intelligence ai techniques in the context of fighting the spread of covid19 providing periodic reviews and discussions of recent efforts saves the time of researchers and helps to link their endeavors for a faster and efficient confrontation of the pandemic in this review we discuss the recent promising studies that used omicsbased data and utilized ai algorithms and other computational tools to achieve this goal we review the established datasets and the developed methods that were basically directed to new or repurposed drugs vaccinations and diagnosis the tools and methods varied depending on the level of details in the available information such as structures sequences or metabolic data,,34423353,0.7358260154724121
artificial intelligence in epidemiology,artificial intelligence can be leveraged to analyze great amounts of data it can be used on images or textual data to define the epidemiology of diseases such as cancer in this review we will present and discuss the applications of ai in this setting,,34158233,0.8606362342834473
the application of artificial intelligence and data integration in covid19 studies a scoping review,objective to summarize how artificial intelligence ai is being applied in covid19 research and determine whether these ai applications integrated heterogenous data from different sources for modeling materials and methods we searched 2 major covid19 literature databases the national institutes of healths litcovid and the world health organizations covid19 database on march 9 2021 following the preferred reporting items for systematic reviews and metaanalyses prisma guideline 2 reviewers independently reviewed all the articles in 2 rounds of screening results in the 794 studies included in the final qualitative analysis we identified 7 key covid19 research areas in which ai was applied including disease forecasting medical imagingbased diagnosis and prognosis early detection and prognosis nonimaging drug repurposing and early drug discovery social media data analysis genomic transcriptomic and proteomic data analysis and other covid19 research topics we also found that there was a lack of heterogenous data integration in these ai applications discussion risk factors relevant to covid19 outcomes exist in heterogeneous data sources including electronic health records surveillance systems sociodemographic datasets and many more however most ai applications in covid19 research adopted a singlesourced approach that could omit important risk factors and thus lead to biased algorithms integrating heterogeneous data for modeling will help realize the full potential of ai algorithms improve precision and reduce bias conclusion there is a lack of data integration in the ai applications in covid19 research and a need for a multilevel ai framework that supports the analysis of heterogeneous data from different sources,PMC8344463,34151987,0.7342319488525391
